DEPTH AC GR PERM POR RT SH SP SPC SW
1228.375 316.985 108.207 0.010 0.100 14.999 74.193 84.837 -53.362 99.900 
1228.500 295.251 107.492 0.010 0.100 14.832 72.801 85.107 -53.093 99.900 
1228.625 264.890 110.059 0.010 0.100 14.722 77.889 85.385 -52.816 99.900 
1228.750 252.025 114.650 0.010 0.100 14.672 87.604 85.627 -52.575 99.900 
1228.875 257.384 119.037 0.010 0.100 14.618 97.678 85.873 -52.331 99.900 
1229.000 269.653 122.013 0.010 0.100 14.492 99.900 86.135 -52.070 99.900 
1229.125 280.815 124.290 0.010 0.100 14.298 99.900 86.382 -51.824 99.900 
1229.250 292.835 127.491 0.010 0.100 14.056 99.900 86.615 -51.591 99.900 
1229.375 299.338 130.507 0.010 0.100 13.756 99.900 86.836 -51.372 99.900 
1229.500 295.404 131.121 0.010 0.100 13.421 99.900 87.039 -51.171 99.900 
1229.625 293.190 128.450 0.010 0.100 13.102 99.900 87.193 -51.017 99.900 
1229.750 302.976 123.571 0.010 0.100 12.794 99.900 87.346 -50.866 99.900 
1229.875 314.704 117.890 0.010 0.100 12.499 94.966 87.476 -50.737 99.900 
1230.000 310.597 112.990 0.010 0.100 12.290 83.997 87.577 -50.637 99.900 
1230.125 286.380 109.882 0.010 0.100 12.217 77.530 87.677 -50.538 99.900 
1230.250 260.617 107.971 0.010 0.100 12.235 73.732 87.764 -50.452 99.900 
1230.375 247.685 107.601 0.010 0.100 12.326 73.011 87.842 -50.375 99.900 
1230.500 250.804 107.429 0.010 0.100 12.503 72.678 87.902 -50.316 99.900 
1230.625 260.318 106.684 0.010 0.100 12.702 71.247 87.984 -50.235 99.900 
1230.750 259.586 105.311 0.010 0.100 12.832 68.660 88.042 -50.178 99.900 
1230.875 246.936 104.811 0.010 0.100 12.951 67.735 88.098 -50.123 99.900 
1231.000 234.544 105.713 0.010 0.100 13.173 69.411 88.190 -50.033 99.900 
1231.125 241.388 106.945 0.010 0.100 13.479 71.746 88.264 -49.960 99.900 
1231.250 270.304 106.538 0.010 0.100 13.776 70.969 88.327 -49.898 99.900 
1231.375 305.527 103.102 0.010 0.100 14.070 64.632 88.389 -49.837 99.900 
1231.500 321.929 99.876 0.010 0.100 14.344 59.035 88.401 -49.826 99.900 
1231.625 302.028 98.568 0.010 0.100 14.542 56.857 88.395 -49.833 99.900 
1231.750 268.708 98.081 0.010 0.100 14.677 56.060 88.376 -49.854 99.900 
1231.875 247.234 96.590 0.010 0.100 14.836 53.661 88.331 -49.899 99.900 
1232.000 237.099 94.288 0.010 0.100 15.046 50.083 88.272 -49.959 99.900 
1232.125 229.634 93.347 0.010 0.100 15.284 48.664 88.214 -50.018 99.900 
1232.250 235.286 94.917 0.010 0.100 15.643 51.046 88.168 -50.066 99.900 
1232.375 265.576 98.872 0.010 0.100 16.162 57.358 88.139 -50.096 99.900 
1232.500 304.093 102.845 0.010 0.100 16.813 64.175 88.134 -50.101 99.900 
1232.625 309.777 104.192 0.010 0.100 17.610 66.599 88.130 -50.107 99.900 
1232.750 279.021 104.209 0.010 0.100 18.592 66.630 88.116 -50.122 99.900 
1232.875 238.484 104.904 0.010 0.100 19.789 67.906 88.106 -50.133 99.900 
1233.000 213.589 105.116 0.010 0.100 21.115 68.298 88.096 -50.145 99.900 
1233.125 210.138 102.907 0.010 0.100 22.645 64.284 88.073 -50.168 99.900 
1233.250 212.083 97.277 0.010 0.100 24.363 54.758 88.040 -50.202 99.900 
1233.375 209.563 90.974 0.010 0.100 26.036 45.190 87.994 -50.250 99.900 
1233.500 203.233 84.013 0.010 0.100 27.688 35.826 87.911 -50.333 99.900 
1233.625 197.334 77.577 0.010 0.100 29.518 28.166 87.826 -50.420 99.900 
1233.750 194.604 74.472 0.010 0.100 31.472 24.780 87.760 -50.487 99.900 
1233.875 196.172 74.141 0.010 0.100 32.886 24.430 87.676 -50.572 99.900 
1234.000 203.030 75.825 0.010 0.100 33.198 26.231 87.580 -50.669 99.900 
1234.125 215.097 78.900 0.010 0.100 32.363 29.669 87.495 -50.756 99.900 
1234.250 232.007 85.326 0.010 0.100 30.646 37.503 87.372 -50.880 99.900 
1234.375 252.573 92.515 0.010 0.100 28.473 47.429 87.230 -51.022 99.900 
1234.500 272.419 100.197 0.010 0.100 26.219 59.577 87.099 -51.155 99.900 
1234.625 282.759 107.876 0.010 0.100 24.224 73.545 86.929 -51.326 99.900 
1234.750 279.861 112.672 0.010 0.100 22.611 83.318 86.747 -51.509 99.900 
1234.875 269.214 114.675 0.010 0.100 21.380 87.658 86.556 -51.701 99.900 
1235.000 257.627 115.142 0.010 0.100 20.485 88.692 86.343 -51.915 99.900 
1235.125 248.327 115.009 0.010 0.100 19.881 88.397 86.157 -52.103 99.900 
1235.250 242.085 113.742 0.010 0.100 19.580 85.616 86.031 -52.229 99.900 
1235.375 239.895 111.260 0.010 0.100 19.646 80.351 85.966 -52.295 99.900 
1235.500 245.605 107.626 0.010 0.100 20.000 73.060 85.953 -52.310 99.900 
1235.625 253.497 103.714 0.010 0.100 20.454 65.732 86.015 -52.249 99.900 
1235.750 250.301 101.324 0.010 0.100 20.791 61.506 86.129 -52.136 99.900 
1235.875 236.014 99.710 0.010 0.100 20.897 58.755 86.307 -51.959 99.900 
1236.000 224.993 98.833 0.010 0.100 20.603 57.294 86.579 -51.688 99.900 
1236.125 226.360 98.452 0.010 0.100 19.762 56.666 86.894 -51.375 99.900 
1236.250 231.379 97.949 0.010 0.100 18.691 55.843 87.225 -51.045 99.900 
1236.375 232.945 97.224 0.010 0.100 17.607 54.672 87.584 -50.687 99.900 
1236.500 232.282 98.285 0.010 0.100 16.552 56.393 87.969 -50.303 99.900 
1236.625 230.688 100.101 0.010 0.100 15.567 59.414 88.339 -49.933 99.900 
1236.750 235.614 102.113 0.010 0.100 14.697 62.881 88.701 -49.573 99.900 
1236.875 249.885 104.043 0.010 0.100 13.947 66.329 89.034 -49.241 99.900 
1237.000 259.258 105.896 0.010 0.100 13.275 69.755 89.295 -48.981 99.900 
1237.125 251.533 106.902 0.010 0.100 12.755 71.664 89.513 -48.764 99.900 
1237.250 237.769 108.338 0.010 0.100 12.444 74.451 89.692 -48.586 99.900 
1237.375 235.235 110.023 0.010 0.100 12.269 77.814 89.816 -48.463 99.900 
1237.500 247.504 110.229 0.010 0.100 12.200 78.233 89.922 -48.358 99.900 
1237.625 271.300 110.736 0.010 0.100 12.268 79.270 90.023 -48.259 99.900 
1237.750 294.929 111.815 0.010 0.100 12.444 81.508 90.107 -48.176 99.900 
1237.875 299.893 112.068 0.010 0.100 12.683 82.039 90.187 -48.097 99.900 
1238.000 280.480 111.567 0.010 0.100 13.006 80.989 90.250 -48.035 99.900 
1238.125 254.299 111.990 0.010 0.100 13.482 81.874 90.295 -47.991 99.900 
1238.250 243.199 111.077 0.010 0.100 13.945 79.972 90.349 -47.938 99.900 
1238.375 251.194 110.881 0.010 0.100 14.290 79.569 90.404 -47.885 99.900 
1238.500 266.734 111.783 0.010 0.100 14.537 81.442 90.442 -47.848 99.900 
1238.625 278.702 112.407 0.010 0.100 14.703 82.756 90.467 -47.823 99.900 
1238.750 291.367 112.360 0.010 0.100 14.721 82.656 90.500 -47.791 99.900 
1238.875 311.832 111.429 0.010 0.100 14.651 80.703 90.541 -47.751 99.900 
1239.000 329.338 110.598 0.010 0.100 14.583 78.986 90.584 -47.709 99.900 
1239.125 322.773 109.607 0.010 0.100 14.392 76.975 90.631 -47.664 99.900 
1239.250 290.322 109.143 0.010 0.100 13.981 76.046 90.670 -47.626 99.900 
1239.375 259.013 108.515 0.010 0.100 13.406 74.800 90.699 -47.598 99.900 
1239.500 248.750 107.651 0.010 0.100 12.761 73.108 90.736 -47.562 99.900 
1239.625 257.315 106.742 0.010 0.100 12.013 71.358 90.782 -47.517 99.900 
1239.750 272.727 104.503 0.010 0.100 11.229 67.168 90.811 -47.490 99.900 
1239.875 286.956 102.632 0.010 0.100 10.509 63.796 90.836 -47.466 99.900 
1240.000 299.161 101.315 0.010 0.100 9.881 61.490 90.876 -47.426 99.900 
1240.125 309.625 100.843 0.010 0.100 9.340 60.677 90.900 -47.404 99.900 
