¾®Ãû,DEPTH,GR,RT,AC,SP,POR,PERM,SW,SSR,SH,CJWX2,CJWX,CJWX1,,,,,,,,
ÂÞ¼ì36-361,1658.125,91.429,19.797,250.503,41.729,14.684,6.2673,37.327,5,17.303,2,1.038212146,0.967197998,,,,,,,,
ÂÞ¼ì36-361,1658.25,89.952,21.416,250.8,41.564,14.725,6.4195,35.805,5,16.611,2,2.224182958,0.969898564,,,,,,,,
ÂÞ¼ì36-361,1658.375,89.628,22.07,251.234,41.422,14.785,6.4851,35.149,5,16.493,2,1.748619198,0.973850613,,,,,,,,
ÂÞ¼ì36-361,1658.5,86.934,21.737,252.221,41.299,14.922,6.4856,35.144,5,15.308,2,2.065241744,0.982874457,,,,,,,,
ÂÞ¼ì36-361,1658.625,84.081,20.96,253.442,41.195,15.09,6.4548,35.452,5,14.112,2,1.869850183,0.993940192,,,,,,,,
ÂÞ¼ì36-361,1658.75,82.542,20.019,254.106,41.123,15.182,6.3909,36.091,5,13.486,2,2.257980048,1,,,,,,,,
ÂÞ¼ì36-361,1658.875,80.769,18.802,254.029,41.088,15.171,6.2737,37.263,5,12.714,2,2.523697488,1,,,,,,,,
ÂÞ¼ì36-361,1659,76.001,17.515,253.442,41.102,15.09,6.1218,38.782,5,10.704,2,2.359856891,1,,,,,,,,
ÂÞ¼ì36-361,1659.125,70.31,16.747,252.32,41.169,14.935,5.9991,40.009,5,8.453,2,2.073458622,1,,,,,,,,
ÂÞ¼ì36-361,1659.25,67.601,16.66,250.22,41.296,14.645,5.9219,40.781,5,7.345,2,1.605197476,1,,,,,,,,
ÂÞ¼ì36-361,1659.375,68.402,17.256,246.486,41.461,14.13,5.8699,41.301,5,7.384,2,1.136687803,1,,,,,,,,
ÂÞ¼ì36-361,1659.5,71.645,18.754,240.609,41.644,13.319,5.8356,41.644,5,8.152,2,2.016152572,0.978906365,,,,,,,,
ÂÞ¼ì36-361,1659.625,75.905,21.263,232.068,41.827,12.14,5.7709,42.291,5,9.141,2,2.305077857,0.892253418,,,,,,,,
ÂÞ¼ì36-361,1659.75,74.531,24.914,221.905,42.002,10.738,5.6666,43.334,5,7.947,2,2.562566358,0.789210642,,,,,,,,
ÂÞ¼ì36-361,1659.875,70.205,29.985,211.562,42.175,9.311,5.5446,44.554,5,5.807,2,2.47474187,0.684330442,,,,,,,,
ÂÞ¼ì36-361,1660,66.497,35.992,202.992,42.351,0.1,0.001,99.9,0,6.875,1,1.037626166,0.007349699,,,,,,,,
ÂÞ¼ì36-361,1660.125,67.139,41.744,198.853,42.531,0.1,0.001,99.9,0,7.298,1,1.064240491,0.007349699,,,,,,,,
ÂÞ¼ì36-361,1660.25,70.607,44.936,199.496,42.701,0.1,0.001,99.9,0,9.662,1,1.092063696,0.007349699,,,,,,,,
ÂÞ¼ì36-361,1660.375,74.624,44.225,204.513,42.841,0.1,0.001,99.9,0,12.574,1,1.013956099,0.007349699,,,,,,,,
ÂÞ¼ì36-361,1660.5,78.918,39.539,212.447,42.932,9.433,6.1625,38.375,6,8.911,2,1.860763632,0.693297075,,,,,,,,
ÂÞ¼ì36-361,1660.625,85.086,32.493,220.811,42.964,10.587,6.1598,38.402,6,11.947,2,1.796157743,0.778112597,,,,,,,,
ÂÞ¼ì36-361,1660.75,91.489,25.644,227.072,42.94,11.451,5.9542,40.458,6,15.265,2,2.495951914,0.841613994,,,,,,,,
ÂÞ¼ì36-361,1660.875,94.408,20.474,230.312,42.906,11.898,5.6162,43.838,6,16.936,2,2.398222642,0.874467147,,,,,,,,
ÂÞ¼ì36-361,1661,94.843,16.205,231.283,42.905,12.032,5.1189,48.811,6,17.236,2,2.401451608,0.884315743,,,,,,,,
ÂÞ¼ì36-361,1661.125,89.154,15.749,231.851,42.975,12.11,5.0758,49.242,6,14.6,2,2.175614945,0.890048508,,,,,,,,
ÂÞ¼ì36-361,1661.25,81.21,16.268,233.438,43.156,12.33,5.2277,47.723,6,11.313,2,1.433733093,0.906217845,,,,,,,,
ÂÞ¼ì36-361,1661.375,80.223,17.588,236.274,43.435,12.721,5.5298,44.702,6,11.125,2,1.991629497,0.934955167,,,,,,,,
ÂÞ¼ì36-361,1661.5,88.002,19.515,239.839,43.81,13.213,5.8899,41.101,6,14.747,2,2.111649611,0.971115684,,,,,,,,
ÂÞ¼ì36-361,1661.625,100.567,22.003,242.521,44.277,13.583,6.2184,37.816,6,21.288,2,1.145008819,0.998309569,,,,,,,,
ÂÞ¼ì36-361,1661.75,111.278,24.808,242.689,44.854,13.606,6.4438,35.562,6,27.661,2,2.487895263,1,,,,,,,,
ÂÞ¼ì36-361,1661.875,117.668,27.207,239.892,45.521,13.22,6.5207,34.793,6,31.582,2,2.585624614,1,,,,,,,,
ÂÞ¼ì36-361,1662,116.168,28.067,235.374,46.269,12.597,6.4319,35.681,6,29.984,2,2.467161991,1,,,,,,,,
ÂÞ¼ì36-361,1662.125,106.976,27.713,231.598,47.08,12.076,6.2788,37.212,6,23.776,2,1.86026171,1,,,,,,,,
ÂÞ¼ì36-361,1662.25,94.231,26.74,229.936,47.929,11.846,6.1499,38.501,6,16.816,2,2.456552442,1,,,,,,,,
ÂÞ¼ì36-361,1662.375,86.139,25.285,230.315,48.786,0.1,0.001,99.9,0,22.058,1,1.083703876,1,,,,,,,,
ÂÞ¼ì36-361,1662.5,88.698,21.255,231.952,49.637,0.1,0.001,99.9,0,24.419,1,1.12438284,1,,,,,,,,
